Date,Rec
199610,0
199611,0
199612,0
199701,0
199702,0
199703,0
199704,0
199705,0
199706,0
199707,0
199708,0
199709,0
199710,0
199711,0
199712,0
199801,0
199802,0
199803,0
199804,0
199805,0
199806,0
199807,0
199808,0
199809,0
199810,0
199811,0
199812,0
199901,0
199902,0
199903,0
199904,0
199905,0
199906,0
199907,0
199908,0
199909,0
199910,0
199911,0
199912,0
200001,0
200002,0
200003,0
200004,0
200005,0
200006,0
200007,0
200008,0
200009,0
200010,0
200011,0
200012,0
200101,0
200102,0
200103,0
200104,1
200105,1
200106,1
200107,1
200108,1
200109,1
200110,1
200111,1
200112,0
200201,0
200202,0
200203,0
200204,0
200205,0
200206,0
200207,0
200208,0
200209,0
200210,0
200211,0
200212,0
200301,0
200302,0
200303,0
200304,0
200305,0
200306,0
200307,0
200308,0
200309,0
200310,0
200311,0
200312,0
200401,0
200402,0
200403,0
200404,0
200405,0
200406,0
200407,0
200408,0
200409,0
200410,0
200411,0
200412,0
200501,0
200502,0
200503,0
200504,0
200505,0
200506,0
200507,0
200508,0
200509,0
200510,0
200511,0
200512,0
200601,0
200602,0
200603,0
200604,0
200605,0
200606,0
200607,0
200608,0
200609,0
200610,0
200611,0
200612,0
200701,0
200702,0
200703,0
200704,0
200705,0
200706,0
200707,0
200708,0
200709,0
200710,0
200711,0
200712,0
200801,1
200802,1
200803,1
200804,1
200805,1
200806,1
200807,1
200808,1
200809,1
200810,1
200811,1
200812,1
200901,1
200902,1
200903,1
200904,1
200905,1
200906,1
200907,0
200908,0
200909,0
200910,0
200911,0
200912,0
201001,0
201002,0
201003,0
201004,0
201005,0
201006,0
201007,0
201008,0
201009,0
201010,0
201011,0
201012,0
201101,0
201102,0
201103,0
201104,0
201105,0
201106,0
201107,0
201108,0
201109,0
201110,0
201111,0
201112,0
201201,0
201202,0
201203,0
201204,0
201205,0
201206,0
201207,0
201208,0
201209,0
201210,0
201211,0
201212,0
201301,0
201302,0
201303,0
201304,0
201305,0
201306,0
201307,0
201308,0
201309,0
201310,0
201311,0
201312,0
201401,0
201402,0
201403,0
201404,0
201405,0
201406,0
201407,0
201408,0
201409,0
201410,0
201411,0
201412,0
201501,0
201502,0
201503,0
201504,0
201505,0
201506,0
201507,0
201508,0
201509,0
201510,0
201511,0
201512,0
201601,0
201602,0
201603,0
201604,0
201605,0
201606,0
201607,0
201608,0
201609,0
201610,0
201611,0
201612,0
201701,0
201702,0
201703,0
201704,0
201705,0
201706,0
201707,0
201708,0
201709,0
201710,0
201711,0
201712,0
201801,0
201802,0
201803,0
201804,0
201805,0
201806,0
201807,0
201808,0
201809,0
201810,0
201811,0
201812,0
201901,0
201902,0
201903,0
201904,0
201905,0
201906,0
201907,0
201908,0
201909,0
201910,0
201911,0
201912,0
202001,0
202002,0
202003,1
202004,1
202005,0
202006,0
202007,0
202008,0
202009,0
202010,0
202011,0
202012,0
202101,0
202102,0
202103,0
202104,0
202105,0
202106,0
202107,0
202108,0
202109,0
202110,0
202111,0
202112,0
202201,0
202202,0
