date,Mkt-RF,SMB,HML,RF,MOM
19261218,0.42,-0.21,0.2,0.011,-0.27
19261220,-0.31,0.08,-0.13,0.011,0.69
19261221,-0.03,-0.39,-0.19,0.011,0.51
19261222,0.02,-0.19,-0.53,0.011,0.04
19261223,0.28,0,-0.46,0.011,0.4
19261224,0.31,0.21,0.26,0.011,0.28
19261227,-0.22,-0.17,-0.37,0.011,0.25
19261228,-1.07,-0.06,-0.17,0.011,0.36
19261229,0.44,-0.18,-0.03,0.011,-0.12
19261230,-0.35,0.45,0.11,0.011,0.02
19261231,0.33,0.31,0.66,0.011,-0.7
19270103,-0.79,0.18,0.08,0.01,0.01
19270104,0.31,0.17,-0.67,0.01,-0.29
19270105,0.14,0.43,-0.31,0.01,-0.49
19270106,-0.17,-0.02,0.12,0.01,-0.06
19270107,0.3,-0.24,0.42,0.01,0.67
19270108,0.39,-0.16,0.25,0.01,-0.52
19270110,0.14,0.07,0.1,0.01,0.14
19270111,-0.28,-0.36,0.84,0.01,0.21
19270112,0.07,-0.02,-0.04,0.01,0.3
19270113,-0.04,0.16,-0.24,0.01,0.3
19270114,0.05,-0.83,0.89,0.01,0.5
19270115,0.13,0.1,0.85,0.01,0.88
19270117,-0.04,-0.15,0.73,0.01,0
19270118,-0.06,-0.25,0.03,0.01,-0.25
19270119,0.61,-0.02,-0.74,0.01,-0.48
19270120,-0.17,-0.25,0.13,0.01,0.16
19270121,-0.01,0.58,1.24,0.01,0.31
19270122,-0.36,0.24,0.36,0.01,0.82
19270124,-0.48,0.43,1.47,0.01,0.2
19270125,-1.07,-0.48,-1.28,0.01,-0.35
19270126,0.19,0.11,0.48,0.01,0.42
19270127,-0.35,0,-0.41,0.01,-0.28
19270128,0.16,0.15,0.77,0.01,0.34
19270129,0.73,-0.38,-0.33,0.01,0.48
19270131,0.61,0.1,-0.02,0.01,0.46
19270201,-0.01,0.56,1.08,0.012,-0.19
19270202,0.7,-0.23,0.12,0.012,-0.17
19270203,0.17,0.18,-0.07,0.012,0.46
19270204,0.37,0.13,1.34,0.012,-0.7
19270205,-0.18,0.34,0.46,0.012,0.03
19270207,-0.13,0.62,0.52,0.012,-0.45
19270208,0.1,0.21,1,0.012,-0.17
19270209,0.04,-0.91,-0.54,0.012,-0.35
19270210,0.08,0.33,-0.7,0.012,-0.09
19270211,0.31,-0.53,-0.52,0.012,0.01
19270214,0.49,-0.09,-0.36,0.012,0.45
19270215,0.1,-0.27,-0.15,0.012,0.27
19270216,-0.02,-0.01,1.56,0.012,0.43
19270217,0.24,0.06,0.88,0.012,0.67
19270218,0.32,-0.74,-0.11,0.012,0.29
19270219,0.01,0.39,-0.47,0.012,-0.39
19270221,-0.17,0.18,-0.89,0.012,-0.02
19270223,0.72,-0.31,-0.14,0.012,0.17
19270224,0.14,0.33,0.1,0.012,-0.05
19270225,0.21,0.23,-0.37,0.012,-0.5
19270226,0.07,-0.23,-0.03,0.012,0.08
19270228,0.55,-0.44,0.25,0.012,0.3
19270301,-0.4,-0.02,-0.54,0.011,0.2
19270302,-1.14,-0.13,-0.33,0.011,-0.23
19270303,1.02,-0.05,0.06,0.011,0.75
19270304,-0.45,0.19,-0.15,0.011,-0.31
19270305,-0.24,0.62,-0.45,0.011,0.05
19270307,-0.37,-0.09,-0.59,0.011,0.27
19270308,0.12,-0.55,-0.32,0.011,-0.02
19270309,0.49,0.19,0.32,0.011,0.37
19270310,0.46,0.1,0.46,0.011,0.41
19270311,0.17,-0.25,0.25,0.011,0.59
19270312,-0.04,-0.06,-0.19,0.011,-0.61
19270314,0.18,0.06,-0.79,0.011,0.51
19270315,-0.81,-0.17,-0.4,0.011,-0.11
19270316,1.02,-0.58,-0.08,0.011,1.09
19270317,0.42,-0.3,-0.39,0.011,0.15
19270318,-0.79,0.12,-0.41,0.011,-0.22
19270319,0.04,-0.01,-0.21,0.011,0.06
19270321,0.17,-0.58,0.03,0.011,0.22
19270322,-1.06,0.2,-0.53,0.011,-0.56
19270323,0.19,-0.09,0.57,0.011,-0.22
19270324,0.68,-0.09,0.05,0.011,0.89
19270325,0.16,0.45,-0.33,0.011,0.11
19270326,0.34,0.16,0.15,0.011,-0.48
19270328,0.52,-0.25,0.07,0.011,0.47
19270329,-0.23,-0.13,-0.39,0.011,0.51
19270330,-0.62,0.11,1.24,0.011,0.68
19270331,0.3,-0.86,0.56,0.011,-0.13
19270401,-0.05,-0.17,-0.34,0.01,0.43
19270402,-0.08,0.19,0.05,0.01,-0.1
19270404,0.53,-0.26,1.17,0.01,0.97
19270405,0.59,-0.27,0,0.01,0.26
19270406,0.11,-0.1,-0.05,0.01,0.01
19270407,0.24,-0.33,0.32,0.01,-0.21
19270408,0.31,0.33,-0.04,0.01,0.92
19270409,0.03,-0.14,0.31,0.01,0.92
19270411,0.19,0.02,-0.15,0.01,-0.19
19270412,-0.29,0.59,-0.11,0.01,-0.73
19270413,0.21,0.12,-1.14,0.01,-0.17
19270414,0.09,0.39,-0.19,0.01,-0.29
19270416,0.18,0.56,0.18,0.01,0.44
19270418,-0.03,-0.14,0.74,0.01,0.38
19270419,0.18,-0.06,0.3,0.01,-0.02
19270420,0.27,-0.38,0.93,0.01,-0.09
19270421,0.36,-0.29,-0.76,0.01,0.19
19270422,0.07,-0.35,0.04,0.01,0.43
19270423,-0.37,0.24,0.01,0.01,0.27
19270425,-1.56,0.13,0.12,0.01,-0.55
19270426,0.58,0.02,-0.43,0.01,0.53
19270427,-0.38,0.07,0.19,0.01,0.99
19270428,-1.11,0.18,-0.32,0.01,-0.35
19270429,0.48,-0.02,-0.18,0.01,0.24
19270430,-0.01,0.21,-0.06,0.01,0
19270502,0.27,0.21,0.49,0.012,0.38
19270503,0.74,0.02,-0.64,0.012,0.52
19270504,0.78,-0.16,0.17,0.012,-0.5
19270505,0.3,0.29,-0.31,0.012,-0.34
19270506,0.28,-0.15,0.88,0.012,-0.11
19270507,0.28,0.28,-0.44,0.012,-0.21
19270509,0.2,0.09,0.39,0.012,0.61
19270510,-0.07,-0.12,0.13,0.012,0.03
19270511,-0.14,-0.01,0.03,0.012,-0.39
19270512,-0.11,-0.33,0.36,0.012,-0.09
19270513,0.49,-0.09,-0.23,0.012,0.96
19270514,0.02,0.29,0.03,0.012,-0.17
19270516,-0.72,0.54,-0.21,0.012,-0.03
19270517,0.47,0.05,0.25,0.012,0.77
19270518,0.51,-0.6,0.08,0.012,0.57
19270519,0.19,-0.41,-0.17,0.012,0.35
19270520,0.43,-0.57,0.33,0.012,0.06
19270521,0.22,0.18,0.12,0.012,-0.57
19270523,0.15,0.47,0.77,0.012,0.95
19270524,-0.14,0.28,0.8,0.012,-0.16
19270525,0.16,0.73,0.44,0.012,0.16
19270526,0.11,-0.04,0.53,0.012,-0.46
19270527,0.44,0.36,-0.01,0.012,0.83
19270528,0.12,0.66,0.43,0.012,-0.23
19270531,0.25,-0.62,0.44,0.012,0.76
19270601,0.32,-0.08,0.21,0.01,1.48
19270602,0.08,-0.16,0.28,0.01,0.09
19270603,-0.88,0.2,-0.66,0.01,-0.61
19270604,0.43,0.13,0.2,0.01,0.56
19270606,0.51,0.22,1.2,0.01,0.28
19270607,-0.29,0.56,-0.21,0.01,-0.48
19270608,0.28,-0.12,0.42,0.01,-0.4
19270609,0.02,0.19,-0.75,0.01,-0.03
19270610,-0.38,0.14,-0.34,0.01,-0.33
19270611,-0.11,-0.28,-0.22,0.01,-0.05
19270614,-1.51,0.03,-0.69,0.01,-0.86
19270615,0.88,0.07,0.25,0.01,0.96
19270616,0.62,-0.37,-0.18,0.01,0.65
19270617,0.16,0.66,1.01,0.01,0.47
19270618,-0.12,0.19,0.56,0.01,0.08
19270620,-0.18,0.43,-0.56,0.01,-0.24
19270621,-0.35,-0.32,0.46,0.01,0.2
19270622,-0.01,0.03,-0.57,0.01,0.16
19270623,-0.86,-0.43,-0.79,0.01,-0.52
19270624,0.13,-0.05,0.3,0.01,0.31
19270625,-0.1,-0.11,0.12,0.01,0.58
19270627,-1.22,-0.54,-0.65,0.01,-0.33
19270628,0.26,-0.02,-0.18,0.01,-0.09
19270629,0.03,0.11,-0.5,0.01,-0.13
19270630,-0.09,-0.03,-0.2,0.01,0.13
19270701,0.65,0.02,-0.1,0.012,0.52
19270702,0.55,0.28,0.16,0.012,0.35
19270705,0.84,-0.42,0.15,0.012,0.47
19270706,0.6,0.22,-0.05,0.012,0.17
19270707,-0.25,0.14,-0.03,0.012,0.13
19270708,-0.18,-0.4,0.13,0.012,0.65
19270709,0.17,0.2,-0.11,0.012,-0.17
19270711,0.4,-0.52,0.31,0.012,0.51
19270712,0.33,-0.4,0.49,0.012,-0.18
19270713,0.27,0.18,-0.12,0.012,0.16
19270714,0.42,-0.04,-0.8,0.012,0.54
19270715,0.26,0.01,-0.36,0.012,-0.07
19270716,0.16,0.12,0.16,0.012,-0.54
19270718,0.18,-0.15,0.05,0.012,0.01
19270719,0.26,-0.16,0.39,0.012,0.09
19270720,0.44,0.12,-0.75,0.012,0.54
19270721,-0.04,0.12,-0.52,0.012,-0.05
19270722,-0.05,-0.09,-0.25,0.012,-0.71
19270723,0.17,0.16,0.17,0.012,0.06
19270725,0.41,-0.36,0.04,0.012,-0.01
19270726,0.25,-0.27,-0.18,0.012,0.14
19270727,0.07,-0.53,-0.06,0.012,-0.11
19270728,0.14,-0.27,-0.21,0.012,-0.03
19270729,0.47,-0.28,0.23,0.012,0.14
19270730,0.47,-0.77,0.22,0.012,0.61
19270801,0.54,-0.22,0.08,0.01,1.02
19270802,0.62,-0.4,-0.28,0.01,-0.02
19270803,-0.65,0.45,-0.46,0.01,-1.11
19270804,0.93,-0.3,0.11,0.01,-0.7
19270805,-0.59,0.32,-0.41,0.01,-0.9
19270806,-0.11,0.09,-0.35,0.01,0.36
19270808,-1.08,0.61,-0.53,0.01,-0.86
19270809,0.94,-0.16,0.47,0.01,0.8
19270810,0.24,-0.06,-0.32,0.01,0.17
19270811,-1.02,-0.4,-0.18,0.01,-0.78
19270812,-1.57,-0.39,-0.95,0.01,-1.26
19270813,0.89,-0.23,0.13,0.01,0.86
19270815,1.26,-0.03,0.88,0.01,0.25
19270816,0.62,0.04,0.08,0.01,0.91
19270817,0.31,0.51,-0.15,0.01,-0.02
19270818,0.03,-0.24,0.02,0.01,0.09
19270819,0.15,0.21,-0.29,0.01,0.7
19270820,0.35,0.04,-0.35,0.01,0.39
19270822,0.35,-0.19,0.16,0.01,0.72
19270823,0.05,-0.02,0.11,0.01,0.2
19270824,0.2,0.03,-0.23,0.01,0.6
19270825,0.02,-0.16,-0.78,0.01,0.57
19270826,0.22,-0.28,-0.04,0.01,0.41
19270827,-0.11,0.32,-0.14,0.01,0.25
19270829,-0.03,0.02,0.32,0.01,0.51
19270830,-0.03,-0.3,-0.72,0.01,0.22
19270831,-0.49,0.04,0.19,0.01,-0.63
19270901,0.8,-0.11,-0.38,0.008,0.55
19270902,0.58,0,0.25,0.008,0.61
19270903,0.5,-0.13,-0.33,0.008,-0.07
19270906,0.91,-0.64,0.23,0.008,0.33
19270907,0.45,-0.36,0.26,0.008,-0.06
19270908,0.01,-0.09,0.17,0.008,-0.35
19270909,-0.63,-0.01,-0.59,0.008,-0.85
19270910,0.43,-0.08,0.24,0.008,0.23
19270912,-0.36,0.39,-0.31,0.008,-0.52
19270913,1.29,-0.74,-0.24,0.008,0.35
19270914,0.31,-0.2,-0.22,0.008,0.77
19270915,0.24,-0.18,-0.01,0.008,0.32
19270916,0.08,-0.35,0.11,0.008,0.74
19270917,-0.29,0.23,-0.21,0.008,-0.24
19270919,-0.32,-0.32,-0.03,0.008,-0.33
19270920,0.55,0.09,0.41,0.008,0.1
19270921,-0.15,0.22,-0.03,0.008,-0.74
19270922,-1.16,0.08,-0.44,0.008,-0.03
19270923,0.52,-0.08,0.15,0.008,0.78
19270924,0.65,-0.34,-0.17,0.008,0.43
19270926,-0.91,0.12,0.03,0.008,-0.28
19270927,0.22,-0.5,0.05,0.008,0.61
19270928,-0.38,-0.06,0.48,0.008,-0.46
19270929,0.17,-0.11,-0.01,0.008,0.27
19270930,1.25,-0.31,0.02,0.008,0.67
19271001,0.49,-0.06,0.23,0.01,0.39
19271003,0.26,-0.24,0.58,0.01,0.68
19271004,-0.4,0.29,-1.26,0.01,-0.32
19271005,-0.29,0.02,-0.2,0.01,0.1
19271006,0.24,-0.07,0.57,0.01,0.57
19271007,-0.74,0.51,-0.76,0.01,-0.4
19271008,-0.32,-0.13,0.21,0.01,0.14
19271010,-0.51,-0.3,-0.38,0.01,-0.2
19271011,0.04,0.26,-0.11,0.01,0.23
19271013,0.69,0,-0.87,0.01,0.69
19271014,-0.01,0.68,-0.01,0.01,-0.41
19271015,0.02,0.39,0.1,0.01,-0.07
19271017,-1.26,0.02,-0.27,0.01,-0.77
19271018,0.34,-0.54,-0.1,0.01,0.34
19271019,-0.81,0.2,0.44,0.01,-0.52
19271020,-1.02,-0.1,0.24,0.01,-0.33
19271021,-0.76,0.82,-0.81,0.01,-1.43
19271022,-0.69,-0.02,0.31,0.01,-0.68
19271024,0.37,-0.1,-0.44,0.01,-0.61
19271025,1.6,-0.21,-0.74,0.01,1.68
19271026,0.05,0.67,0.09,0.01,0.11
19271027,-0.41,0.35,-0.17,0.01,0.04
19271028,-1.45,0.21,-0.98,0.01,-0.74
19271029,-0.5,-0.55,0.01,0.01,-0.51
19271031,0.76,-0.06,-0.32,0.01,0.21
19271101,-0.01,0.09,0.15,0.009,-0.13
19271102,1,-0.53,-0.17,0.009,-0.03
19271103,1.12,-0.36,0.26,0.009,-0.94
19271104,-0.03,0.21,0.12,0.009,0.18
19271105,0.55,0.02,-0.01,0.009,0.91
19271107,0.69,0.34,-0.28,0.009,1.12
19271109,-0.78,0.37,-0.43,0.009,-0.33
19271110,0.24,0.02,-0.41,0.009,0.17
19271111,0.87,-0.36,-0.29,0.009,0.81
19271112,0.34,0.17,-0.18,0.009,-0.29
19271114,0.51,0.32,0.11,0.009,0.4
19271115,0.11,-0.14,0.69,0.009,-0.97
19271116,-0.04,0.41,0.11,0.009,0.21
19271117,0.16,0.31,-0.06,0.009,0.01
19271118,0.61,0.12,-0.06,0.009,-0.16
19271119,0.27,0.41,-0.02,0.009,0.13
19271121,-0.52,0.12,0.42,0.009,-0.73
19271122,0.37,-0.11,-0.14,0.009,0.51
19271123,0.28,0.18,0.09,0.009,-0.42
19271125,0.24,0.15,0.43,0.009,-0.44
19271126,-0.01,0.52,0,0.009,-0.41
19271128,-0.76,0.16,0.04,0.009,-0.7
19271129,0.65,0.34,-0.21,0.009,0.09
19271130,0.48,-0.14,-0.25,0.009,1.19
19271201,-0.48,-0.22,0.06,0.009,0
19271202,0.26,-0.57,0.96,0.009,0.89
19271203,0.36,-0.26,0.24,0.009,0.3
19271205,-0.4,0.37,0.11,0.009,-0.03
19271206,-0.03,0.32,-0.25,0.009,0.14
19271207,-0.5,-0.11,-0.53,0.009,0.38
19271208,-0.86,0.28,-0.16,0.009,-0.22
19271209,1.13,0.02,-0.09,0.009,0.77
19271210,0.06,0.49,-0.22,0.009,0.09
19271212,0.58,0.8,-0.59,0.009,0.06
19271213,0.38,-0.28,-0.31,0.009,-0.14
19271214,-0.37,0.04,-0.03,0.009,-0.31
19271215,0.52,0.19,0.22,0.009,-0.02
19271216,0.66,-0.26,-0.37,0.009,0.51
19271217,0.05,-0.14,0.64,0.009,-1.02
19271219,0.32,0.22,-0.35,0.009,0.38
19271220,0.01,-0.26,0.2,0.009,0.32
19271221,-0.07,-0.1,0.27,0.009,0
19271222,-0.06,-0.5,0.21,0.009,-0.15
19271223,0.2,-0.32,0.09,0.009,0.4
19271224,0.14,-0.01,0.4,0.009,0.29
19271227,0.01,0.25,-0.28,0.009,0.26
19271228,-0.57,0.25,-0.21,0.009,-0.32
19271229,0.15,-0.09,-1.1,0.009,0.61
19271230,0.43,0.71,-0.03,0.009,-1.29
19271231,0.32,0.18,0.02,0.009,-0.28
19280103,0.45,0.83,-0.12,0.01,-0.48
19280104,-0.14,0.52,-0.05,0.01,-0.4
19280105,-0.73,-0.1,0.26,0.01,-0.57
19280106,0.62,0.53,0.06,0.01,0.43
19280107,0.11,-0.01,0.29,0.01,-0.03
19280109,-0.89,0.12,-0.04,0.01,-0.76
19280110,-0.83,-0.47,0.1,0.01,-0.11
19280111,0.12,0.38,0.29,0.01,-0.23
19280112,0.5,0.2,-0.11,0.01,-0.28
19280113,0.61,0.27,0.11,0.01,-0.21
19280114,-0.67,0.02,-0.01,0.01,-0.28
19280116,-0.89,-0.5,-0.38,0.01,-0.34
19280117,0.17,0.31,0.41,0.01,0.35
19280118,-0.31,-0.34,-0.13,0.01,0.33
19280119,0.57,0.23,-0.12,0.01,0.4
19280120,0.57,0.14,-0.06,0.01,0
19280121,0.21,0.43,-0.4,0.01,-0.06
19280123,0.61,0.16,-0.08,0.01,0.95
19280124,0.27,0.46,-0.32,0.01,0.51
19280125,-1.04,-0.31,-0.34,0.01,-0.18
19280126,0.52,0.77,-0.21,0.01,0.19
19280127,0.27,-0.1,-0.12,0.01,-0.03
19280128,-0.5,0.46,0.16,0.01,-0.25
19280130,-0.42,-0.39,-0.28,0.01,-0.07
19280131,0.32,0.6,0.33,0.01,0.69
19280201,-0.25,0.52,-0.65,0.014,0.52
19280202,0.44,0.13,0.18,0.014,0.35
19280203,-1.14,-0.47,-0.43,0.014,-0.43
19280204,0.05,-0.45,0.18,0.014,0.33
19280206,0.2,0.33,0.06,0.014,0.17
19280207,-0.28,-0.26,-0.67,0.014,0.38
19280208,0.08,-0.03,-0.2,0.014,0.68
19280209,0.46,-0.12,-0.12,0.014,-0.32
19280210,-0.09,-0.49,-0.11,0.014,-0.1
19280211,-0.02,0.1,0.54,0.014,0.1
19280214,-0.38,0.58,-0.42,0.014,-0.15
19280215,-0.28,-0.53,-0.04,0.014,-0.06
19280216,-0.32,-0.62,0.07,0.014,0.13
19280217,-1.66,-0.69,-0.57,0.014,-0.2
19280218,-0.47,-0.61,0.14,0.014,-0.39
19280220,-0.16,0.17,0.3,0.014,-0.36
19280221,1.06,0.41,0.22,0.014,0.19
19280223,0.23,0.08,-0.13,0.014,-0.29
19280224,0.34,-0.31,0.46,0.014,-0.19
19280225,0.11,-0.16,0.73,0.014,-0.52
19280227,-0.49,0.05,-0.27,0.014,0.49
19280228,0.35,0.03,0.38,0.014,-0.3
19280229,0.57,0.27,-0.24,0.014,-0.03
19280301,0.25,-0.1,-0.16,0.011,0.06
19280302,0.07,0.02,-0.69,0.011,0.12
19280303,0.49,0,-0.62,0.011,0.7
19280305,0.66,-0.09,0.1,0.011,0.78
19280306,0.39,0.25,-0.15,0.011,0.89
19280307,-0.43,0.22,-0.09,0.011,0.39
19280308,0.42,-0.03,0.56,0.011,-0.39
19280309,1.23,-0.58,-0.37,0.011,1.44
19280310,-0.27,-0.38,-0.08,0.011,0.02
19280312,0.41,-0.18,-0.05,0.011,-0.09
19280313,-0.3,0.04,-0.05,0.011,0.17
19280314,0.13,-0.02,0.49,0.011,-0.27
19280315,0.72,-0.43,0.23,0.011,0.05
19280316,0.93,-0.57,0.22,0.011,0
19280317,0.19,0.01,0.48,0.011,-0.24
19280319,0.14,1.21,-0.75,0.011,-0.28
19280320,0.42,0.38,-0.2,0.011,0.41
19280321,0.86,0.15,0.48,0.011,0.94
19280322,-0.36,-0.3,-0.37,0.011,0.27
19280323,0.75,-0.38,-0.67,0.011,1.47
19280324,0.07,-0.45,-0.06,0.011,0.52
19280326,0.95,0.09,-0.27,0.011,0.73
19280327,-0.33,-0.25,1.09,0.011,-0.77
19280328,0.03,0.48,0.02,0.011,-1.09
19280329,0.19,0.27,0.41,0.011,-0.11
19280330,1.49,-0.07,-0.7,0.011,1.54
19280331,-0.57,0.44,0.14,0.011,-0.44
19280402,-0.87,0.71,0.51,0.01,-0.79
19280403,0.6,0.26,-0.38,0.01,0.57
19280404,-0.07,0.42,0.13,0.01,0.21
19280405,1.13,-0.26,0.26,0.01,0.13
19280409,0.34,0.98,0.14,0.01,-0.24
19280410,-0.73,0.33,-0.21,0.01,-0.25
19280411,1.41,0.02,0.96,0.01,-0.22
19280412,-0.25,0.54,-0.44,0.01,0.13
19280413,1.4,0.05,-0.54,0.01,-0.26
19280414,-0.44,0.1,-0.2,0.01,-0.2
19280416,0.52,-0.3,0.24,0.01,-1.68
19280417,-0.68,0.15,-0.27,0.01,0.02
19280418,0.02,0.19,-0.12,0.01,-0.11
19280419,0.58,0.62,0.63,0.01,0.1
19280420,-1.33,0.03,0.12,0.01,0.18
19280423,-0.73,-0.01,0.32,0.01,-0.55
19280424,0.36,0.03,0,0.01,0.57
19280425,0.73,-0.07,1.47,0.01,-1.14
19280426,0.63,0.14,0.61,0.01,0.02
19280427,1.04,-0.13,0.46,0.01,0.4
19280428,0.5,-0.17,-0.06,0.01,-0.12
19280430,0.06,0.24,-0.54,0.01,0.14
19280501,0.26,0.18,0.47,0.015,0.6
19280502,0.08,0.36,-0.21,0.015,0.76
19280503,0.39,0.22,-0.71,0.015,0.53
19280504,1.18,-0.68,-0.23,0.015,1.18
19280507,0.69,0.31,-0.23,0.015,0.44
19280508,-0.56,-0.13,-0.3,0.015,-0.23
19280509,0.04,-0.29,0.63,0.015,-0.77
19280510,-0.17,0.4,-0.42,0.015,0.12
19280511,0.77,0.58,-0.59,0.015,0.2
19280514,0.49,0.57,0.08,0.015,0.37
19280515,-0.04,0.81,-0.59,0.015,0.52
19280516,-1.52,-0.18,-0.4,0.015,-0.4
19280517,0.47,-0.29,-0.66,0.015,0.76
19280518,-0.72,0.13,1.19,0.015,-0.78
19280521,-1.16,0.6,-0.18,0.015,-0.34
19280522,-1.41,-0.49,-0.56,0.015,-1.14
19280523,1.72,-0.13,-0.24,0.015,1.19
19280524,0.51,0.62,0.29,0.015,0.22
19280525,0.2,0.32,-0.03,0.015,0.02
19280528,-1.47,-0.47,-0.27,0.015,-0.84
19280529,0.88,-0.32,-0.1,0.015,0.96
19280531,0.94,0.52,0.17,0.015,0.7
19280601,0.31,-0.04,-0.34,0.012,0.17
19280602,0.64,0.33,-0.07,0.012,0.45
19280604,-1.85,0.04,-0.18,0.012,-1.19
19280605,0.21,0.34,-0.07,0.012,0.52
19280606,-0.84,0.4,0.11,0.012,-0.43
19280607,-0.52,-0.77,-0.78,0.012,0.32
19280608,-1.38,-0.19,-0.74,0.012,-0.5
19280609,-1.3,-0.24,-0.27,0.012,-0.33
19280611,-2.31,-1.14,-0.37,0.012,-1.62
19280612,-2.33,-3.27,0.15,0.012,-1.5
19280613,3.14,0.36,0.69,0.012,1.11
19280614,0.95,1.52,0.93,0.012,1
19280615,-1.24,-0.18,0.5,0.012,-1.23
19280616,-0.03,-0.58,-0.01,0.012,0.47
19280618,-2.01,0.06,-0.16,0.012,-0.27
19280619,-0.62,-1.27,-0.16,0.012,-0.05
19280620,1.38,0.07,0.43,0.012,1.4
19280621,0.15,0.51,0.48,0.012,-0.91
19280622,-0.03,0.15,0.43,0.012,0.08
19280623,-0.65,0.14,-0.26,0.012,-0.39
19280625,0.09,-0.68,0.53,0.012,0.19
19280626,1,-0.16,-0.02,0.012,0.98
19280627,1.01,0.59,-0.23,0.012,0.89
19280628,0.82,0.24,-0.25,0.012,1.16
19280629,0.49,-0.11,0.34,0.012,0.2
19280630,0.12,0.08,-0.28,0.012,0.06
19280702,-1.2,-0.03,-0.3,0.013,-0.87
19280703,1.61,-0.29,0.13,0.013,1.17
19280705,0.94,-0.02,0.05,0.013,0.17
19280706,-0.32,0.21,0.31,0.013,-0.55
19280707,0.26,0.03,0.39,0.013,-0.16
19280709,0.01,0.07,-0.46,0.013,0.32
19280710,-0.27,0.1,-0.74,0.013,0.53
19280711,-2.33,0.15,-0.16,0.013,-1.14
19280712,-0.64,-0.64,0.67,0.013,-0.58
19280713,0.7,-0.13,-0.09,0.013,0.4
19280714,-0.04,0.28,0.33,0.013,-0.2
19280716,-1.23,-0.13,-0.05,0.013,-0.2
19280717,0.45,-0.33,-0.47,0.013,0.76
19280718,0.89,-0.12,-0.44,0.013,0.63
19280719,-0.16,0.35,0.59,0.013,-0.06
19280720,0.11,-0.07,0.11,0.013,0.03
19280721,-0.24,0.18,0.18,0.013,-0.04
19280723,0.62,-0.25,-0.36,0.013,0.05
19280724,0.04,0.17,0.61,0.013,-0.03
19280725,0.43,-0.09,-0.34,0.013,0.29
19280726,0.22,-0.14,0.29,0.013,0.06
19280727,0.78,-0.35,-0.79,0.013,0.52
19280728,0.25,-0.17,0.03,0.013,0.22
19280730,-0.13,-0.11,0.07,0.013,0.21
19280731,-0.11,-0.03,-0.11,0.013,0.07
19280801,0.26,-0.07,0.01,0.012,0.09
19280802,-0.45,0.11,-0.01,0.012,-0.27
19280803,0.22,-0.05,0.19,0.012,0.22
19280804,0.22,0.15,0.2,0.012,-0.07
19280806,0.73,-0.25,-0.32,0.012,0.61
19280807,-0.35,0.12,0.49,0.012,-0.02
19280808,-1.12,0.16,0.01,0.012,-0.81
19280809,0.12,-0.02,-0.3,0.012,0.56
19280810,-0.2,0.05,-0.04,0.012,-0.04
19280811,0.12,0.08,-0.14,0.012,-0.38
19280813,-0.05,0.04,0.22,0.012,0.12
19280814,-0.66,0.54,0.05,0.012,-0.48
19280815,1.38,-0.67,-0.3,0.012,0.78
19280816,0.79,-0.21,0.22,0.012,0.19
19280817,0.29,-0.32,-0.48,0.012,0.22
19280818,0.28,0.02,0.51,0.012,-0.02
19280820,0.23,0.07,-0.07,0.012,-0.05
19280821,0.98,-0.4,-0.46,0.012,0.09
19280822,0.14,0,-0.61,0.012,0.4
19280823,0,0.03,0.03,0.012,0.49
19280824,1.38,-0.36,-0.19,0.012,1.08
19280825,0.28,-0.11,-0.06,0.012,0.13
